Schoolid,School_Name,medium,Latitude,Longitude,shift,low_class,High_class,Z_ID,Zone_Name,D_ID,District_name,SchManagement,SchCategory,typeOfSchool
1925402,"Molar Band, No.2- SBV",English,28.494316,77.330564,Evening,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
1925403,Madanpur Khadar- GBSSS,English,28.530279,77.288091,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925404,Madanpur Khadar- GGSSS,English,28.530279,77.288091,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925430,Kalkaji School of Excellence,English,28.54332579,77.26027666,General,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1925431,"Madanpur Khadar Extn., Phase-III- SKV",English,28.527078,77.318916,Morning,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
1925432,"Madanpur Khadar School of Excellence, J.J Colony, Phase-II",English,28.529603,77.317972,General,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
1925437,"SOSE, Lajpat Nagar",English,28.57690944,77.24075173,General,9,12,2225,Zone-25,22,South East,Government,School of Specialized Excellence(SOSE),Co-ed
1925438,"SOSE, Kalkaji",English,28.54332579,77.26027666,General,9,12,2229,Zone-29,22,South East,Government,School of Specialized Excellence(SOSE),Boys
1925439,"SOSE, J.J Colony, Phase- II, Madanpur Khadar",English,28.529603,77.317972,General,9,12,2229,Zone-29,22,South East,Government,School of Specialized Excellence(SOSE),Girls
1925440,"Molar Band, No. 2- SKV-1925440 (Nursary to XII)",English,28.494575,77.325881,Morning,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Girls
1925442,"Jaitpur Extension Part- II, Gaddha Colony- SV(Middle)",English,28.50851,77.33985,General,Nursery,8,2229,Zone-29,22,South East,Government,Sarvodaya Middle Schools,Girls
1925443,"SOSE, INA Colony",English,28.57889062,77.22044314,General,9,12,2225,Zone-25,22,South East,Government,School of Specialized Excellence(SOSE),Girls
1925444,"SOSE, Andrews Ganj",English,28.56468511,77.22869409,General,9,12,2225,Zone-25,22,South East,Government,School of Specialized Excellence(SOSE),Girls
1925446,"Delhi Model Virtual School, Lajpat Nagar",English,28.5662025,77.2455698,General,9,12,2225,Zone-25,22,South East,Government,Virtual School,Girls
1925447,"Madanpur Khadar Extn. , Phase-III- SBV",English,28.52687279,77.31927547,Evening,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Girls
